ID,RA,DEC,ZBEST
611,51.83613,-27.06678,0.0436
612,51.8363,-28.42291,0.23093603551387787
613,51.83664,-28.5554,0.22844064235687256
614,51.83693,-28.46835,0.2289888858795166
615,51.83702,-28.56221,0.1791110336780548
616,51.83712,-28.57257,0.5033662915229797
617,51.83722,-29.22046,0.7189875841140747
618,51.837374999999994,-28.177722222222226,0.4629000127315521
619,51.83746,-29.24153,0.5573868751525879
620,51.83786,-28.46557,0.7168762683868408
621,51.83798,-29.12538,0.3443918228149414
622,51.83811,-29.02669,0.4500071406364441
623,51.83812,-29.18762,0.6541085243225098
624,51.83857,-28.49182,0.44613462686538696
625,51.83872,-28.47199,0.17233054339885712
626,51.83882,-29.00958,0.05367143824696541
627,51.83899,-29.02493,0.44913002848625183
628,51.83913,-29.17106,0.28917887806892395
629,51.83982,-29.06646,0.5999631285667419
630,51.83989,-29.03772,0.6055824160575867
631,51.84046,-29.02119,0.6755455136299133
632,51.84069,-29.20205,0.7846957445144653
633,51.84089,-29.02406,0.9026632308959961
634,51.84109,-29.05666,0.5925626158714294
635,51.84116,-28.41656,0.5413866639137268
636,51.84137,-29.00508,0.4813612103462219
637,51.84232,-28.52017,0.43923085927963257
638,51.84258,-29.16344,0.33437976241111755
